id,fuente,tradicion,siglo,texto,h1_localizacion,h2_temperatura,h3_momento,h4_pronostico,h5_tradicion
Gr_Ep1_C12,"Hippocrates, Epidemics I",griega,-5,"
        Dromeades. Fourteenth day: sweated all over; cold throughout; extremities particularly
        cold; no urine; death on that day.",3,0,0,1,0
Gr_Ep1_C13,"Hippocrates, Epidemics I",griega,-5,"
        The man lodged at the house of Epigenes. Seventh day: much sweat about the head
        and neck; warm and copious. Tenth day: free of fever; complete crisis. Recovered.",0,2,0,0,0
Gr_Ep1_C14,"Hippocrates, Epidemics I",griega,-5,"
        Melidia near the temple of Hera. Seventh day: scanty sweat about the head and
        clavicles only; cold and clammy. No crisis obtained; died on the seventh day.",0,0,0,1,0
Gr_Ep3_C1,"Hippocrates, Epidemics III",griega,-5,"
        Pythion was seized with violent tremors and acute fever. On the sixth day he sweated
        much, warm sweat on the head; crisis. Fever subsided; recovered without relapse.",0,2,0,0,0
Gr_Ep3_C2,"Hippocrates, Epidemics III",griega,-5,"
        Anaxion was seized with acute fever. On the sixth day, cold sweat on the chest
        and upper limbs; slight delirium. On the eighth, died.",1,0,0,1,0
Gr_Ep3_C3,"Hippocrates, Epidemics III",griega,-5,"
        Crates was seized with violent rigor and acute fever. Much sweating throughout
        the attack; warm and copious on the thorax. Resolved on the fourteenth day; lived.",1,2,0,0,0
Gr_Ep3_C4,"Hippocrates, Epidemics III",griega,-5,"
        A woman had fever; much vomiting. Sweated little; only around the ankles and feet;
        cold throughout. On the eleventh day, crisis was absent; she lingered and died.",2,0,1,1,0
Gr_Ep3_C5,"Hippocrates, Epidemics III",griega,-5,"
        Apollonius in Abdera had fever for a long time. On a certain day he had warm profuse
        sweating over the whole body; urine normal; crisis on the twentieth day; recovered.",3,2,0,0,0
Gr_Ep3_C6,"Hippocrates, Epidemics III",griega,-5,"
        Hermocrates was seized with fever. Fourteenth day: no fever; no sweat; slept; recovered.
        Seventeenth day: relapse. Twentieth day: fresh crisis; no fever. Twenty-seventh day: died.",3,1,0,1,0
Gr_Ep3_C7,"Hippocrates, Epidemics III",griega,-5,"
        The man in the garden of Delearces. Fortieth day: sweated abundantly all over;
        complete crisis; recovered.",0,1,0,0,0
Gr_Ep3_C8,"Hippocrates, Epidemics III",griega,-5,"
        Pythion above the shrine of Heracles. Tongue dry; thirst; no sleep.
        Tenth day: speechless; great chill; acute fever; much sweat; died.",3,0,0,1,0
Gr_Ep3_C9,"Hippocrates, Epidemics III",griega,-5,"
        The patient with phrenitis vomited copiously; much fever; continuous sweating all over;
        convulsions at night. Fourth day: died.",3,1,1,1,0
Gr_Ep3_C10,"Hippocrates, Epidemics III",griega,-5,"
        In Larisa a bald man had acute ardent fever. Sixth day: much cold sweat;
        extremities cold; no urine passed; delirious; died on the sixth day.",3,0,0,1,0
Gr_Ep3_C11,"Hippocrates, Epidemics III",griega,-5,"
        A melancholic woman took to her bed. Twentieth day: much sweating; afebrile.
        Twenty-seventh day: sweated; free from fever; complete crisis; recovered.",3,1,0,0,0
Gr_Ep3_C12,"Hippocrates, Epidemics III",griega,-5,"
        Chthonoboutes, acute fever. Seventh day: slight sweating about the head only;
        cold extremities. Twentieth day: cold sweat all over; extremities cold; died.",3,0,0,1,0
Gr_Ep3_C13,"Hippocrates, Epidemics III",griega,-5,"
        In Abdera, Pericles had acute continuous fever. Fourteenth day: sweated all over;
        warm and copious; afebrile; complete favorable crisis. Recovered.",3,2,0,0,0
Gr_Ep3_C14,"Hippocrates, Epidemics III",griega,-5,"
        A woman who had an abortion had fever. Fourteenth day: sweated a little; not all over;
        cold extremities; relapse immediately. Seventeenth day: died.",2,0,0,1,0
Gr_Ep3_C15,"Hippocrates, Epidemics III",griega,-5,"
        A young man in Meliboea. Fourteenth day: sweated all over; warm and copious;
        complete crisis; free from fever; recovered.",3,2,0,0,0
Gr_Ep3_C16,"Hippocrates, Epidemics III",griega,-5,"
        The Parian in Thasos had acute continuous fever. Eleventh day: sweated all over;
        grew chilly but quickly recovered heat. Twentieth day: sweated all over; recovered.",3,1,0,0,0
Gr_Prog_C1,"Hippocrates, Prognostic",griega,-5,"
        If in acute fever the patient sweats warm and copious all over the body and the fever
        is resolved, it brings the disease to a favorable crisis. Cold sweats indicate
        prolongation or a fatal outcome with cold livid extremities.",3,2,0,0,0
Gr_Prog_C2,"Hippocrates, Prognostic",griega,-5,"
        Cold sweats occurring with acute fever indicate death; with milder fever, prolongation.
        When sweat is cold and confined to the head only, with extremities cold and livid,
        and with acute fever, death follows.",0,0,1,1,0
Gr_Prog_C3,"Hippocrates, Prognostic",griega,-5,"
        Sweats on critical days, warm and covering the whole body, relieve fever and resolve
        the disease. Small cold sweats on the forehead or clavicles only indicate danger.",0,0,0,1,0
Gr_Aph_C1,"Hippocrates, Aphorisms",griega,-5,"
        Sweating is beneficial when the fever is resolved by it. Cold sweats with acute fever
        indicate death; with a mild fever, a long illness.",3,0,0,1,0
Gr_Aph_C2,"Hippocrates, Aphorisms",griega,-5,"
        When in a fever the extremities are cold while the body is hot, cold sweats appear
        at the extremities and do not spread to the trunk, the prognosis is very bad.",2,0,1,1,0
Gr_Aph_C3,"Hippocrates, Aphorisms",griega,-5,"
        After a rigor, warm and copious sweating all over the body, with fever abating,
        is a good sign indicating resolution of the disease and recovery.",3,2,0,0,0
Gr_Ep2_C1,"Hippocrates, Epidemics II",griega,-5,"
        Simus had fever; pain of the head. Seventh day: cold clammy sweat over the whole body;
        extremities could not be warmed; death followed.",3,0,0,1,0
Gr_Ep2_C2,"Hippocrates, Epidemics II",griega,-5,"
        Nicostratus had continuous fever with rigors. Eleventh day: warm sweat over the whole
        body; crisis; fever relieved entirely. Recovered completely.",3,2,0,0,0
Gr_Ep2_C3,"Hippocrates, Epidemics II",griega,-5,"
        A woman in Larisa with continuous fever. Seventh day: slight sweating about the head
        and neck; cold extremities; livid color; delirium. Ninth day: died.",0,0,0,1,0
Gr_Ep2_C4,"Hippocrates, Epidemics II",griega,-5,"
        Heraclides suffered from continued fever. Fourteenth day: copious warm sweating all
        over; crisis; free from fever. Recovered on the fourteenth; no relapse.",3,2,0,0,0
Gr_Ep5_C1,"Hippocrates, Epidemics V",griega,-5,"
        In Larisa a man with burning fever. Sweated slightly about the forehead; cold and clammy.
        Sixth day: cold sweat all over; extremities livid and cold; no urine; died.",3,0,0,1,0
Gr_Ep5_C2,"Hippocrates, Epidemics V",griega,-5,"
        Democles in Abdera had ardent fever. Seventh day: profuse warm sweat all over the body;
        fever resolved. Eleventh day completely well; recovered without any relapse.",3,2,0,0,0
Ba_C1,"Babylonian Diagnostic Handbook, Tablet 1",babilonica,-10,"
        If a man's body is hot with fever and he sweats profusely from his entire body,
        and the sweat is warm and abundant, the fever will break and the man will recover.
        The hand of Shamash is upon him but he will live.",3,2,0,0,1
Ba_C2,"Babylonian Diagnostic Handbook, Tablet 2",babilonica,-10,"
        If a man sweats and his hands and his feet are cold, that man will die;
        he will not recover. The hand of a ghost has seized him.",2,0,1,1,1
Ba_C3,"Babylonian Diagnostic Handbook, Tablet 3",babilonica,-10,"
        If a man is seized by fever and cold sweat breaks out upon his forehead only,
        his hands remaining cold and his feet cold, he will die within three days.
        The sickness is severe.",0,0,1,1,1
Ba_C4,"Babylonian Diagnostic Handbook, Tablet 4",babilonica,-10,"
        If a man has fever and sweats from his whole body at the time the stars rise,
        and the sweat is warm, the fever will depart from him and he will recover his health.",3,2,0,0,1
Ba_C5,"Babylonian Diagnostic Handbook, Tablet 5",babilonica,-10,"
        If a man sweats on his chest and his upper body but his extremities are cold and livid,
        he will not recover; the disease is beyond the physician's power. He will die.",1,0,0,1,1
Ba_C6,"Babylonian Diagnostic Handbook, Tablet 6",babilonica,-10,"
        If a man is hot with burning fever for many days and then suddenly sweats warm
        and abundantly from his whole body and the fever leaves him, he will live.
        The gods have been merciful.",3,2,0,0,1
Ba_C7,"Babylonian Diagnostic Handbook, Tablet 7",babilonica,-10,"
        If a man has intermittent fever and sweats on odd days but not on even days,
        and the sweat is cold and scanty about the neck and head, the disease will be long.
        He may recover but recovery will be slow.",0,0,0,0,1
Ba_C8,"Babylonian Diagnostic Handbook, Tablet 8",babilonica,-10,"
        If the fever is severe and the patient cannot be warmed, and cold sweat covers
        his entire body, and his urine is scanty and black, he will die before the new moon.",3,0,0,1,1
Ba_C9,"Babylonian Diagnostic Handbook, Tablet 9",babilonica,-10,"
        If a man sweats moderately from the upper half of his body during fever and the
        lower half remains dry, and if the fever diminishes by evening, he will recover
        slowly. The treatment of Gula will help him.",1,1,0,0,1
Ba_C10,"Babylonian Diagnostic Handbook, Tablet 10",babilonica,-10,"
        If a man is seized with shaking and cold sweat breaks out upon him before the fever
        peaks, and his extremities cannot be warmed even with fire, that man will die.
        His ghost will haunt the house.",3,0,0,1,1
Ba_C11,"Babylonian Diagnostic Handbook, Tablet 11",babilonica,-10,"
        If a man has continuous fever for seven days and on the seventh day sweats warmly
        from his whole body and the fever breaks completely, he will live.
        The crisis has been resolved favorably.",3,2,0,0,1
Ba_C12,"Babylonian Diagnostic Handbook, Tablet 12",babilonica,-10,"
        If a man sweats from his head and neck during fever and the sweat is warm but the
        body below remains dry and hot, the crisis is incomplete. He may recover partially
        but relapse should be expected.",0,2,0,0,1
Ba_C13,"Babylonian Diagnostic Handbook, Tablet 13",babilonica,-10,"
        If a man is afflicted with burning fever and sweats only from his feet and ankles,
        and the sweat is cold and the rest of the body burning hot, this man is in great danger.
        He will likely die; make offerings to Marduk.",2,0,0,1,1
Ba_C14,"Babylonian Diagnostic Handbook, Tablet 14",babilonica,-10,"
        If a man has fever with delirium and sweats warm from his whole body when the moon
        is full, and the fever resolves at that time, he will completely recover.
        Favorable omen; the gods smile upon him.",3,2,0,0,1
Ba_C15,"Babylonian Diagnostic Handbook, Tablet 15",babilonica,-10,"
        If a man's fever worsens day by day and at no point does he sweat, and his skin
        is dry and burning, and his extremities cold, this is a bad sign. He will die.",3,0,1,1,1
Ba_C16,"Babylonian Diagnostic Handbook, Tablet 16",babilonica,-10,"
        If during fever a man sweats on his forehead and between his shoulder blades but
        his limbs remain cold, and if he trembles and cannot speak, he will die.
        No physician can help; his time has come.",0,0,0,1,1
Ba_C17,"Babylonian Diagnostic Handbook, Tablet 17",babilonica,-10,"
        If a man is ill with fever for fourteen days and on the fourteenth day sweats
        abundantly and warmly from all parts of his body, the fever will cease and
        he will recover. The crisis has come on the right day.",3,2,0,0,1
Ba_C18,"Babylonian Diagnostic Handbook, Tablet 18",babilonica,-10,"
        If a man with severe fever sweats a little, with the sweat cold and confined to
        the upper body only, and the lower body dry and cold, he will die within seven days.
        Prepare his burial offerings.",1,0,0,1,1
Ba_C19,"Babylonian Diagnostic Handbook, Tablet 19",babilonica,-10,"
        If a man is seized by intermittent fever and sweats moderately on the days the fever
        returns, with the sweat neither warm nor cold, recovery is possible but uncertain.
        Give him herbal decoctions and pray to Gula.",3,1,0,0,1
Ba_C20,"Babylonian Diagnostic Handbook, Tablet 20",babilonica,-10,"
        If a man in high fever suddenly breaks into profuse warm sweat covering his entire
        body, and if after the sweat the fever is completely gone, he will recover fully.
        Make an offering of thanksgiving to the gods.",3,2,0,0,1
Ba_C21,"Babylonian Diagnostic Handbook, Tablet 21",babilonica,-10,"
        If a man has fever and sweats from his head only, and the sweat is cold and the
        head cold to the touch, and his body below is hot, this man will die.
        The spirit of the dead afflicts him.",0,0,0,1,1
Ba_C22,"Babylonian Diagnostic Handbook, Tablet 22",babilonica,-10,"
        If a man has fever for twenty days and sweats warm from his whole body on the
        twentieth day and the fever resolves, this is a good sign. He will live.
        The crisis has been delayed but is favorable.",3,2,0,0,1
Ba_C23,"Babylonian Diagnostic Handbook, Tablet 23",babilonica,-10,"
        If a man sweats from the whole body but the sweat is cold and the extremities
        cannot be warmed, and if his eyes are sunken and his breathing labored,
        he will die before sunrise.",3,0,0,1,1
Ba_C24,"Babylonian Diagnostic Handbook, Tablet 24",babilonica,-10,"
        If a man has relapsing fever and on the day of relapse sweats more than before,
        with the sweat warm and covering the entire body, the relapse will be mild and
        recovery will follow. A good omen.",3,2,0,0,1
Ba_C25,"Babylonian Diagnostic Handbook, Tablet 25",babilonica,-10,"
        If during fever a man's skin is dry and does not sweat at all, and his body is
        burning hot while his extremities are cold, the prognosis is very grave.
        This man will most likely die.",3,0,1,1,1
Ba_C26,"Babylonian Diagnostic Handbook, Tablet 26",babilonica,-10,"
        If a man with fever sweats from his armpits and groin but not from the rest of his
        body, and the sweat is lukewarm, this is an uncertain sign. He may recover or may
        not; the gods have not yet decided his fate.",1,1,0,0,1
Ba_C27,"Babylonian Diagnostic Handbook, Tablet 27",babilonica,-10,"
        If on the seventh day of fever a man sweats warm from his whole body and the
        fever departs, he will recover. This is the correct crisis day. He will be well.",3,2,0,0,1
Ba_C28,"Babylonian Diagnostic Handbook, Tablet 28",babilonica,-10,"
        If a man is seized with violent shaking fever and sweats cold from his forehead
        and neck but his body below is dry, this is a sign of death. He will not recover.
        Call the mourners.",0,0,0,1,1
Ga_C1,"Galen, De Crisibus, Book I",galenica,2,"
        A patient suffering from ardent fever broke into a sweat on the seventh day;
        the sweat was warm and copious, spreading from the chest over the entire body.
        The fever resolved completely and the patient recovered. This is a perfect crisis.",3,2,0,0,2
Ga_C2,"Galen, De Crisibus, Book I",galenica,2,"
        A man with continuous fever sweated on the fourteenth day; the sweat was cold
        and confined to the forehead and neck. The extremities were livid and could not
        be warmed. He died on the fourteenth day. This is an ominous sweat.",0,0,0,1,2
Ga_C3,"Galen, De Crisibus, Book II",galenica,2,"
        I observed a patient whose fever crisis came on the eleventh day. The sweat was
        warm and bathed the whole body abundantly. After the sweat the pulse became soft
        and the patient asked for food. He made a complete recovery.",3,2,0,0,2
Ga_C4,"Galen, De Crisibus, Book II",galenica,2,"
        A woman with puerperal fever on the seventh day had cold sweats on the chest
        and upper limbs only. The lower body was dry and cold to the touch. She died
        the following day. Cold partial sweats are always a sign of death.",1,0,0,1,2
Ga_C5,"Galen, De Crisibus, Book III",galenica,2,"
        On the twentieth day of a prolonged fever, the patient sweated abundantly and
        warmly from the whole body. The urine showed a good sediment. Complete crisis.
        I predicted this outcome from the character of the pulse on the fourteenth day.",3,2,0,0,2
Ga_C6,"Galen, De Crisibus, Book III",galenica,2,"
        A philosopher came to me with high fever and delirium. On the fourth day he had
        a slight sweat about the head; cold and clammy. The extremities were cold.
        I predicted death. He died on the sixth day. My prognosis was correct.",0,0,0,1,2
Ga_C7,"Galen, Prognostic",galenica,2,"
        When fever patients sweat at the crisis with warm sweat covering the entire body,
        and the fever resolves at the same time, this is always a good sign. Such sweats
        indicate that nature has overcome the disease through proper coction.",3,2,0,0,2
Ga_C8,"Galen, Prognostic",galenica,2,"
        Cold sweats occurring during the height of fever are invariably fatal signs.
        When such sweats are accompanied by cold extremities and scanty dark urine,
        death follows within one or two days. Hippocrates taught us this truth.",3,0,0,1,2
Ga_C9,"Galen, De Crisibus, Book I",galenica,2,"
        A young man with tertian fever sweated moderately on the third and seventh days;
        the sweat was neither warm nor cold but tepid and covered the whole body.
        The fever subsided gradually over twenty days and he recovered slowly.",3,1,0,0,2
Ga_C10,"Galen, De Crisibus, Book II",galenica,2,"
        I attended a senator with ardent fever. On the seventh day, when I predicted
        the crisis, warm and copious sweat appeared over his entire body. The fever
        left him completely. My prognosis based on the pulse was vindicated.",3,2,0,0,2
Ga_C11,"Galen, De Crisibus, Book II",galenica,2,"
        An old man with continuous fever failed to sweat on the seventh and eleventh days.
        On the fourteenth day a cold sweat appeared on the forehead only. The extremities
        became cold and livid. He died on the fourteenth day.",0,0,0,1,2
Ga_C12,"Galen, De Crisibus, Book III",galenica,2,"
        A woman with fever on the eleventh day broke into a warm sweat beginning at the
        chest and spreading downward to cover the whole body. The fever resolved and she
        asked for nourishment. She recovered completely on the fourteenth day.",3,2,0,0,2
Ga_C13,"Galen, Prognostic",galenica,2,"
        When sweat appears only about the head during acute fever and the rest of the body
        is dry and the extremities cold, this indicates either prolongation of the disease
        or death. It is never a sign of complete crisis.",0,0,0,1,2
Ga_C14,"Galen, De Crisibus, Book I",galenica,2,"
        A soldier came to me with quartan fever. On the twenty-first day he sweated warmly
        from the whole body and the fever resolved completely. This is how nature expels
        the morbid humor through sweat when coction is complete.",3,2,0,0,2
Ga_C15,"Galen, De Crisibus, Book II",galenica,2,"
        I was called to see a patient who had been sweating cold for two days. The sweat
        covered his whole body but was cold and clammy. His extremities were livid.
        I told the family he would not survive. He died the same night.",3,0,0,1,2
Ga_C16,"Galen, De Crisibus, Book III",galenica,2,"
        A case of false crisis: on the seventh day there was moderate sweating from the
        upper body only, neither warm nor cold. The fever diminished but returned on the
        ninth day. True crisis came on the fourteenth with full warm sweating.",1,1,0,0,2
Ga_C17,"Galen, Prognostic",galenica,2,"
        Warm sweats that appear spontaneously during acute fever and cover the entire body
        uniformly indicate that nature is expelling the disease properly. Such patients
        invariably recover if no other dangerous symptoms are present.",3,2,0,0,2
Ga_C18,"Galen, De Crisibus, Book I",galenica,2,"
        An athlete developed high fever after violent exercise. On the fourth day cold sweats
        appeared over the whole body; he could not be warmed. I prescribed nothing for I knew
        he would die. He died before the next day's sun.",3,0,0,1,2
Ga_C19,"Galen, De Crisibus, Book II",galenica,2,"
        A child of eight years had ardent fever. On the seventh day he sweated copiously
        and warmly from the whole body. The fever left him immediately and he recovered
        quickly. Children resolve fever crises more readily than adults.",3,2,0,0,2
Ga_C20,"Galen, De Crisibus, Book III",galenica,2,"
        A merchant with remittent fever sweated on the days of exacerbation; the sweat
        was moderate and tepid, covering the upper body. After fourteen days of this
        pattern the fever resolved and he recovered, though weakened.",1,1,0,0,2
Ga_C21,"Galen, Prognostic",galenica,2,"
        Cold sweats occurring with delirium and cold extremities in acute fever are the most
        dangerous sign known to medicine. Hippocrates correctly identified these as signs of
        imminent death and I have confirmed this in all my practice.",3,0,0,1,2
Ga_C22,"Galen, De Crisibus, Book I",galenica,2,"
        A woman with puerperal fever recovered on the eleventh day when warm sweat
        covered her whole body. I had predicted this from the favorable signs I observed
        on the seventh day: good urine sediment and a regular pulse.",3,2,0,0,2
Ga_C23,"Galen, De Crisibus, Book II",galenica,2,"
        When the sweat at crisis appears only on the extremities and is cold, while the
        trunk remains hot and dry, this is an incomplete and dangerous crisis. The patient
        may survive or may relapse into worse fever.",2,0,0,1,2
Ga_C24,"Galen, De Crisibus, Book III",galenica,2,"
        A case of complete crisis on the seventh day: warm copious sweat from the whole body,
        the fever resolving entirely, the pulse becoming full and slow, the urine showing
        abundant sediment. The patient recovered perfectly within two days.",3,2,0,0,2
Ga_C25,"Galen, Prognostic",galenica,2,"
        I have observed many patients in whom cold sweat appeared on the forehead during
        the height of fever while the rest of the body was dry. All of these patients
        either died or had very prolonged illnesses. It is never a favorable sign.",0,0,0,1,2
Ga_C26,"Galen, De Crisibus, Book I",galenica,2,"
        A philosopher with prolonged fever sweated moderately and warmly on the twentieth day.
        The sweat was not abundant but covered the whole body. The fever subsided gradually.
        He recovered but the convalescence was long.",3,2,0,0,2
Ga_C27,"Galen, De Crisibus, Book II",galenica,2,"
        When a patient sweats profusely but the sweat is cold and does not reduce the fever,
        and the extremities cannot be warmed, this is the worst possible sign. Death follows
        within hours or at most one day.",3,0,0,1,2
Ga_C28,"Galen, De Crisibus, Book III",galenica,2,"
        A young woman with tertian fever had her crisis on the seventh day with warm abundant
        sweat covering her entire body. She recovered completely. The critical days of
        Hippocrates are confirmed by daily clinical experience.",3,2,0,0,2
Ga_C29,"Galen, Prognostic",galenica,2,"
        In my thirty years of practice I have never seen a patient die when warm copious
        sweat covering the entire body appeared on a critical day and the fever resolved
        completely at the same time. This is always a sign of recovery.",3,2,0,0,2
Ga_C30,"Galen, De Crisibus, Book I",galenica,2,"
        A case of death by cold sweat: a man of sixty years had ardent fever. On the
        fourth day cold sweat covered his entire body; extremities became livid.
        I predicted death. He died at the sixth hour of the same day.",3,0,0,1,2
Is_C1,"Avicenna, Canon of Medicine, Book IV",islamica,11,"
        A patient with burning fever who sweats copiously and warmly from the entire body
        on the day of crisis is surely recovering. The humor has been properly concocted
        and expelled through the pores. Allah has willed his recovery.",3,2,0,0,3
Is_C2,"Avicenna, Canon of Medicine, Book IV",islamica,11,"
        Cold sweat appearing in acute fever with livid extremities indicates imminent death.
        When the sweat is cold and confined to the forehead and the extremities are cold
        and cannot be warmed, the patient will die within one or two days.",0,0,0,1,3
Is_C3,"Avicenna, Canon of Medicine, Book IV",islamica,11,"
        I treated a merchant from Bukhara with continuous fever. On the seventh day he sweated
        warmly and abundantly from the whole body. The fever left him that day. He was well
        within four days. Praise be to Allah for his recovery.",3,2,0,0,3
Is_C4,"Avicenna, Canon of Medicine, Book IV",islamica,11,"
        A scholar from Isfahan had fever for twenty days. On the twentieth day warm sweat
        covered his whole body and the fever resolved. This is a complete and favorable crisis.
        The late crisis is due to excess of phlegmatic humor.",3,2,0,0,3
Is_C5,"Avicenna, Canon of Medicine, Book IV",islamica,11,"
        A woman with puerperal fever sweated cold from her chest and upper limbs. Her lower
        body was cold and dry. She could not be warmed despite all efforts. She died on the
        eighth day. Cold partial sweats in women after childbirth are always fatal.",1,0,0,1,3
Is_C6,"Avicenna, Canon of Medicine, Book IV",islamica,11,"
        When the crisis sweat is moderate and covers only the upper half of the body,
        and is neither warm nor cold, the crisis is incomplete. The fever will return.
        Expect relapse and prepare further treatment.",1,1,0,0,3
Is_C7,"Avicenna, Canon of Medicine, Book IV",islamica,11,"
        A young man from Samarkand with ardent fever. On the eleventh day warm copious sweat
        covered his whole body. The fever resolved completely. He recovered quickly.
        The crisis on the eleventh day confirms the Hippocratic teaching.",3,2,0,0,3
Is_C8,"Avicenna, Canon of Medicine, Book IV",islamica,11,"
        An old man with prolonged fever. Cold sweat covered his whole body on the fourteenth
        day. His extremities were livid and cold. His breathing was labored. He died before
        the next prayer time. Cold sweats in the elderly are invariably fatal.",3,0,0,1,3
Is_C9,"Avicenna, Canon of Medicine, Book IV",islamica,11,"
        A case of quartan fever resolved on the twenty-first day with warm abundant sweat
        from the entire body. The patient had been ill for three complete cycles. The crisis
        was complete and favorable; recovery was rapid.",3,2,0,0,3
Is_C10,"Avicenna, Canon of Medicine, Book IV",islamica,11,"
        A child with high fever sweated only from the head; the sweat was cold and the face
        pale. The body below was hot and dry. The child died on the fourth day.
        Sweating confined to the head in children is a most dangerous sign.",0,0,0,1,3
Is_C11,"Avicenna, Canon of Medicine, Book IV",islamica,11,"
        I observed a case where warm sweat appeared spontaneously from the whole body during
        the height of fever, without any crisis medication. The fever resolved within the hour.
        This demonstrates that nature itself can expel the morbid humor when ready.",3,2,0,0,3
Is_C12,"Avicenna, Canon of Medicine, Book IV",islamica,11,"
        When fever patients sweat from the extremities only, with cold sweat on the feet
        and hands while the trunk is hot and dry, this is a dangerous incomplete crisis.
        The patient may die or suffer prolonged illness.",2,0,0,1,3
Is_C13,"Avicenna, Canon of Medicine, Book IV",islamica,11,"
        A physician from Baghdad came to me ill with tertian fever. On the seventh day he
        sweated moderately and warmly from the whole body. The fever subsided. He recovered
        within four days and resumed his practice. A good crisis on the seventh day.",3,2,0,0,3
Is_C14,"Avicenna, Canon of Medicine, Book IV",islamica,11,"
        Cold sweats that are profuse and cover the whole body during high fever, while the
        extremities are cold and livid, indicate that the vital force is failing. Death
        is certain. No treatment can reverse this sign.",3,0,0,1,3
Is_C15,"Avicenna, Canon of Medicine, Book IV",islamica,11,"
        A young woman with remittent fever sweated moderately each evening; the sweat was
        tepid and covered the whole body. After fourteen days this pattern ceased and she
        recovered. Moderate tepid sweating indicates that the illness is resolving slowly.",3,1,0,0,3
Is_C16,"Avicenna, Canon of Medicine, Book IV",islamica,11,"
        I was called to a nobleman who had been sweating cold from the chest and upper body
        for three days. The lower body was hot and dry. I told his family he would die.
        He died the next morning. Cold chest sweats with hot lower body are always fatal.",1,0,0,1,3
Is_C17,"Ibn Sina, Al-Qanun fi al-Tibb, Book IV",islamica,11,"
        A student afflicted with brain fever sweated warmly and abundantly from the whole
        body on the fourteenth day. The fever resolved immediately. He recovered completely.
        The warm general sweat on a critical day is the most favorable sign in medicine.",3,2,0,0,3
Is_C18,"Ibn Sina, Al-Qanun fi al-Tibb, Book IV",islamica,11,"
        An elderly scholar with continuous fever sweated cold on the seventh day from the
        forehead and collar bones only. The rest of his body was dry and his extremities cold.
        He died on the ninth day. A cold partial sweat is never a favorable sign.",0,0,0,1,3
Is_C19,"Ibn Sina, Al-Qanun fi al-Tibb, Book IV",islamica,11,"
        A merchant with prolonged fever had his crisis on the twentieth day with warm profuse
        sweat from the entire body. He recovered completely within two days. Long fevers
        that resolve with warm general sweat on the twentieth day always have good outcomes.",3,2,0,0,3
Is_C20,"Ibn Sina, Al-Qanun fi al-Tibb, Book IV",islamica,11,"
        Cold sweat in acute fever accompanied by weakness of the pulse, cold extremities,
        and darkening of the urine means the patient will not survive. This combination
        of signs has been confirmed in every case I have observed.",3,0,0,1,3
